Survived,Pclass,Sex,SibSp,Parch,FamilySize,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other,Title_Rev,Ticket_first_letter_2,Ticket_first_letter_3,Ticket_first_letter_4,Ticket_first_letter_6,Ticket_first_letter_7,Ticket_first_letter_X,Cabin_First_B,Cabin_First_C,Cabin_First_D,Cabin_First_E,Cabin_First_F,Cabin_First_N,Age,Fare
0,3,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.5655874785607108,-0.5024451714361923
1,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.6242286550327536,0.7868452935884461
1,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.2681334451623447,-0.4888542575852486
1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.401138129983979,0.4207302360686478
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.401138129983979,-0.4863374216869257
0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.47811642890864375
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8140447886262179,0.395813560675251
0,3,0,3,1,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.052857645552541,-0.22408312108167944
1,3,1,0,2,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.19376993681275317,-0.4242561406845337
1,2,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1.160495545357443,-0.04295550208861426
1,3,1,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1.9041306288533582,-0.312172377522981
1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.111498822024584,-0.11384570873513637
0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.7143144952598939,-0.4863374216869257
0,3,0,1,5,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6985921633823451,-0.01870931177853076
0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.160495545357443,-0.4902797934380587
1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.8884082969758094,-0.3262666585535892
0,3,0,4,1,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2.052857645552541,-0.06199888922968463
1,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2449747624498367,-0.3866707201133388
0,3,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.10368409658561291,-0.2859972841804228
1,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.008498805898135677,-0.5029485386158568
0,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.401138129983979,-0.12491978668775715
1,2,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3267746216343875,-0.3866707201133388
1,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.0861320370078515,-0.4867562231804066
1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11940642846316166,0.06635974158478332
0,3,1,3,1,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1.6066765954549922,-0.22408312108167944
1,3,1,1,5,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.6242286550327536,-0.016444159470040135
